"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"115","Hamilton East",2017,"National Party",0.5003,0.513609034290299,0.399786751286374,0.592179143763232
"116","Hamilton East",2017,"New Zealand First Party",0.0714,0.0484911970438474,0.0130137395607919,0.173341602613922
"117","Hamilton East",2017,"United Future",0.003,0.00358589943828913,5e-04,0.0752472255851111
"118","Hamilton West",2017,"ACT",0.0048,0.000639168240752614,5e-04,0.00424097473793212
"119","Hamilton West",2017,"Conservative Party",0.0467,0.00465910772709381,5e-04,0.105904104859222
"120","Hamilton West",2017,"Green Party",0.0821,0.0875608190201496,0.0641648510037398,0.121639032158286
"121","Hamilton West",2017,"Labour Party",0.2569,0.260038172760034,0.191844378942239,0.327127188579015
"122","Hamilton West",2017,"Mana",0.0072,0.000583139916818833,5e-04,0.0199602970602626
"123","Hamilton West",2017,"Maori Party",0.0056,0.00696603772092719,0.00270294640747435,0.0268347738900427
"124","Hamilton West",2017,"National Party",0.4773,0.49102401693452,0.376786751286374,0.578758754432937
"125","Hamilton West",2017,"New Zealand First Party",0.1082,0.0734838588255503,0.0197211011271385,0.205643981969004
"126","Hamilton West",2017,"United Future",0.0026,0.00319813353483488,5e-04,0.079276581652463
"127","Helensville",2017,"ACT",0.0074,0.000985384371160281,5e-04,0.00653816938764535
"128","Helensville",2017,"Conservative Party",0.0478,0.00476885116392043,5e-04,0.0981648368263348
"129","Helensville",2017,"Green Party",0.1358,0.140724438182021,0.106133821757708,0.170888849328986
"130","Helensville",2017,"Labour Party",0.1253,0.128233143963263,0.0935698741979855,0.189589604451646
"131","Helensville",2017,"Mana",0.0096,0.000777519889091777,5e-04,0.0212545261965996
"132","Helensville",2017,"Maori Party",0.0054,0.00666708589305804,0.0026064126072074,0.0247745677200897
"133","Helensville",2017,"National Party",0.5851,0.59757112222271,0.484586751286374,0.671763021510694
"134","Helensville",2017,"New Zealand First Party",0.0738,0.0501211532470019,0.0134511761846841,0.168635195428196
"135","Helensville",2017,"United Future",0.0026,0.0031513767343255,5e-04,0.0700964787241198
"136","Hunua",2017,"ACT",0.0087,0.00115849243636411,5e-04,0.00768676671250196
"137","Hunua",2017,"Conservative Party",0.0504,0.00502824474187426,5e-04,0.100021435253859
"138","Hunua",2017,"Green Party",0.0579,0.0631177380877049,0.0452514600866813,0.0958393404054546
"139","Hunua",2017,"Labour Party",0.131,0.134057205633541,0.0978264446922275,0.199693111190539
"140","Hunua",2017,"Mana",0.0046,5e-04,5e-04,0.0168990432922265
"141","Hunua",2017,"Maori Party",0.004,0.0052936372002161,0.00193067600533882,0.024453992352011
"142","Hunua",2017,"National Party",0.6391,0.651796457172052,0.538586751286374,0.731800375374789
"143","Hunua",2017,"New Zealand First Party",0.0958,0.0650624184425852,0.0174610119036956,0.186717776366808
"144","Hunua",2017,"United Future",0.0023,0.00285481727618735,5e-04,0.0729924438959046
"145","Hutt South",2017,"ACT",0.0066,0.000878856331034845,5e-04,0.00583134026465666
"146","Hutt South",2017,"Conservative Party",0.0357,0.0035616733588276,5e-04,0.0915287441212267
"147","Hutt South",2017,"Green Party",0.1275,0.132032806474635,0.0996469976002049,0.159901184452441
"148","Hutt South",2017,"Labour Party",0.2798,0.28236899439706,0.208945337594544,0.336886767446958
"149","Hutt South",2017,"Mana",0.0072,0.000583139916818833,5e-04,0.0183746004392477
"150","Hutt South",2017,"Maori Party",0.0053,0.0064844042855052,0.00255814570707393,0.0232703004924881
"151","Hutt South",2017,"National Party",0.453,0.464679245604525,0.352486751286374,0.539470937235925
"152","Hutt South",2017,"New Zealand First Party",0.0748,0.050800301664983,0.0136334414446392,0.170654094975028
"153","Hutt South",2017,"United Future",0.0035,0.00402808640773924,5e-04,0.0707661839728638
"154","Ilam",2017,"ACT",0.0099,0.00131828449655227,5e-04,0.00874701039698499
"155","Ilam",2017,"Conservative Party",0.0368,0.00367141679565422,5e-04,0.0844715625221798
"156","Ilam",2017,"Green Party",0.1296,0.133707559533621,0.101288242266561,0.15882410376245
"157","Ilam",2017,"Labour Party",0.1767,0.179110039790128,0.131953685321501,0.229235220726707
"158","Ilam",2017,"Mana",0.0066,0.000534544923750597,5e-04,0.0165791735743323
"159","Ilam",2017,"Maori Party",0.0048,0.00587380522853674,0.00231681120640658,0.0209008629875216
"160","Ilam",2017,"National Party",0.5772,0.587746315525245,0.476686751286374,0.649643814597344
"161","Ilam",2017,"New Zealand First Party",0.0512,0.0347723990006301,0.00933198130969953,0.141005299428818
"162","Ilam",2017,"United Future",0.0026,0.00307745822557317,5e-04,0.0619017449603806
"163","Invercargill",2017,"ACT",0.0033,5e-04,5e-04,0.00291567013232833
"164","Invercargill",2017,"Conservative Party",0.0368,0.00367141679565422,5e-04,0.0948830823624884
"165","Invercargill",2017,"Green Party",0.0757,0.0805763121868438,0.0591629624967491,0.112378252377249
"166","Invercargill",2017,"Labour Party",0.2507,0.253535381486914,0.187214425071309,0.315374569054027
"167","Invercargill",2017,"Mana",0.0062,0.000502148261705106,5e-04,0.0182112144197029
"168","Invercargill",2017,"Maori Party",0.0032,0.00445319790883529,0.00154454080427105,0.0227423210655391
"169","Invercargill",2017,"National Party",0.4948,0.506663857322675,0.394286751286374,0.589199341263646
"170","Invercargill",2017,"New Zealand First Party",0.1116,0.0757929634466858,0.0203408030109857,0.198920987780555
"171","Invercargill",2017,"United Future",0.002,0.00254109128033502,5e-04,0.0728970840673243
"172","Kaikoura",2017,"ACT",0.0039,0.000519324195611499,5e-04,0.00344579197456984
"173","Kaikoura",2017,"Conservative Party",0.0466,0.00464913105101866,5e-04,0.10049896231878
"174","Kaikoura",2017,"Green Party",0.0918,0.0967315935087299,0.0717458382721475,0.128406414337947
"175","Kaikoura",2017,"Labour Party",0.171,0.173922606896852,0.127697114827259,0.236908583212139
"176","Kaikoura",2017,"Mana",0.0046,5e-04,5e-04,0.0166651799971831
"177","Kaikoura",2017,"Maori Party",0.0036,0.00485441847538128,0.00173760840480494,0.0232995675050668
"178","Kaikoura",2017,"National Party",0.5664,0.578610685574144,0.465886751286374,0.657227161679496
"179","Kaikoura",2017,"New Zealand First Party",0.0985,0.066896119171134,0.0179531281055743,0.188198568567671
"180","Kaikoura",2017,"United Future",0.0026,0.00314667738730378,5e-04,0.0724351391505492
"181","Kelston",2017,"ACT",0.01,0.00133160050156795,5e-04,0.00883536403735858
"182","Kelston",2017,"Conservative Party",0.0296,0.00295309611824361,5e-04,0.0846784327309074
"183","Kelston",2017,"Green Party",0.1074,0.11195204343777,0.0839379415079373,0.140450230173093
"184","Kelston",2017,"Labour Party",0.4213,0.42404771984308,0.392380763235514,0.481887674126224
"185","Kelston",2017,"Mana",0.0141,0.00114198233710355,5e-04,0.024403946927886
"186","Kelston",2017,"Maori Party",0.0031,0.00427263047454699,0.00149627390413758,0.0209321443384954
"187","Kelston",2017,"National Party",0.3232,0.334479999508543,0.222686751286374,0.404241735417115
"188","Kelston",2017,"New Zealand First Party",0.0845,0.0573880413193992,0.0154014144662033,0.16905687377708
"189","Kelston",2017,"United Future",0.0016,0.0021248123148881,5e-04,0.0667946298883123
"190","Mana",2017,"ACT",0.0022,5e-04,5e-04,0.00194378008821889
"191","Mana",2017,"Conservative Party",0.0267,0.00266377251206434,5e-04,0.0810877111308589
"192","Mana",2017,"Green Party",0.128,0.13198475429098,0.100037770139814,0.157349209664459
"193","Mana",2017,"Labour Party",0.3439,0.34609204968696,0.26286536108025,0.393996990316516
"194","Mana",2017,"Mana",0.0096,0.000777519889091777,5e-04,0.0194735757967427
