Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Incumbent
"PUGH, Maureen ",National Party,2017,West Coast-Tasman,NA,NA,0.357324646,FALSE
"HIPANGO, Harete",National Party,2017,Whanganui,NA,NA,0.536901121,FALSE
"RETI, Shane ",National Party,2017,Whangarei,NA,NA,0.555805167,FALSE
"HIATT, David",National Party,2017,Wigram,NA,NA,0.377147588,FALSE
"BOND, Ria ",New Zealand First Party,2017,Invercargill,NA,NA,0.07505856,FALSE
"DEGIA-PALA, Anne ",New Zealand First Party,2017,Kelston,NA,NA,0.043224664,FALSE
"STEVENSON, Rob",New Zealand First Party,2017,Rangitikei,NA,NA,0.069262295,FALSE
"MARTIN, Tracey ",New Zealand First Party,2017,Rodney,NA,NA,0.102140673,FALSE
"MITCHELL, Clayton ",New Zealand First Party,2017,Tauranga,NA,NA,0.160708799,FALSE
"HUSBAND, Stu",New Zealand First Party,2017,Waikato,NA,NA,0.095439538,FALSE
"JONES, Shane",New Zealand First Party,2017,Whangarei,NA,NA,0.081384663,FALSE
"RICKARD, Ben ",United Future,2017,Bay of Plenty,NA,NA,0.003789431,FALSE
"DUNNE, Peter",United Future,2017,Ohariu,NA,NA,0.368565615,TRUE
"EUSOFF, Sultan ",United Future,2017,Rongotai,NA,NA,0.002560951,FALSE
GENERIC GREEN PARTY CANDIDATE,Green Party,2017,Christchurch Central,NA,NA,0.084359797,FALSE
GENERIC GREEN PARTY CANDIDATE,Green Party,2017,Ilam,NA,NA,0.122056555,FALSE
GENERIC GREEN PARTY CANDIDATE,Green Party,2017,Kelston,NA,NA,0.069263618,FALSE
GENERIC GREEN PARTY CANDIDATE,Green Party,2017,Ohariu,NA,NA,0.075076297,FALSE
GENERIC GREEN PARTY CANDIDATE,Green Party,2017,Papakura,NA,NA,0.053696173,FALSE
GENERIC GREEN PARTY CANDIDATE,Green Party,2017,Rodney,NA,NA,0.089296636,FALSE
GENERIC GREEN PARTY CANDIDATE,Green Party,2017,Selwyn,NA,NA,0.115490657,FALSE
GENERIC GREEN PARTY CANDIDATE,Green Party,2017,Tauranga,NA,NA,0.059817679,FALSE
GENERIC GREEN PARTY CANDIDATE,Green Party,2017,Waimakariri,NA,NA,0.042362525,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Christchurch Central,NA,NA,0.126792298,FALSE
"BALL, Darroch ",New Zealand First Party,2017,Palmerston North,NA,NA,0.037470241,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Wellington Central,NA,NA,0.084555827,FALSE
"BINDRA, Mahesh ",New Zealand First Party,2017,Mt Roskill,NA,NA,0.071978643,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Kaikoura,NA,NA,0.016902274,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Papakura,NA,NA,0.038338328,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Bay of Plenty,NA,NA,0.069346838,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Coromandel,NA,NA,0.082964488,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Hamilton West,NA,NA,0.02618708,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Manurewa,NA,NA,0.052454675,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Rimutaka,NA,NA,0.072638194,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Manukau East,NA,NA,0.077869291,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Epsom,NA,NA,0.021714404,FALSE
"MARK, Ron",New Zealand First Party,2017,Wairarapa,NA,NA,0.036144578,FALSE
"O'ROURKE, Denis ",New Zealand First Party,2017,Port Hills,NA,NA,0.101240747,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Hutt South,NA,NA,0.028924775,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Taupo,NA,NA,0.049054676,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Rongotai,NA,NA,0.020999795,FALSE
"PROSSER, Richard Ivor ",New Zealand First Party,2017,Waimakariri,NA,NA,0.074210742,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Hunua,NA,NA,0.052282242,FALSE
"TABUTEAU, Fletcher ",New Zealand First Party,2017,Rotorua,NA,NA,0.064921787,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,East Coast,NA,NA,0.028818737,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Hamilton East,NA,NA,0.233549959,FALSE
GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Selwyn,NA,NA,0.015210689,FALSE
