Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Candidate Previous Vote,Previous Candidate Vote electorate,Same Candidate,Same Electorate,Same Party,Incumbent,No Candidate Run Last Election,Mixer
"CARSON, Craig",Green Party,2005,Invercargill,0.029155118,0.0308,0.032284019,0.032284019,0.032284019,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ROY, Eric",National Party,2005,Invercargill,0.500769941,0.3949,0.394113111,0.394113111,0.394113111,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"HAREMATE-CRAWFORD, Gina ",Maori Party,2005,Invercargill,0.005235602,0.0033,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"TAEFU, Heka ",Jim Anderton's Progressive,2005,Invercargill,0.007391438,0.0122,0.033725569,NA,0.033725569,FALSE,NA,NA,FALSE,FALSE,FALSE
"HARPUR, Wayne ",Labour Party,2005,Invercargill,0.434760292,0.4518,0.487713299,NA,0.487713299,FALSE,NA,NA,FALSE,FALSE,FALSE
"KENNARD, Ralph ",United Future,2005,Invercargill,0.014577559,0.0322,0.027020685,NA,0.027020685,FALSE,NA,NA,FALSE,FALSE,FALSE
"CARSON, Craig",Green Party,2008,Invercargill,0.049518011,0.0426,0.029155118,0.029155118,0.029155118,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ROY, Eric",National Party,2008,Invercargill,0.55971588,0.4754,0.500769941,0.500769941,0.500769941,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"CARLINE, Ian ",ACT,2008,Invercargill,0.011973617,0.027,0.010493144,NA,0.010493144,FALSE,NA,NA,FALSE,FALSE,FALSE
"SOPER, Lesley",Labour Party,2008,Invercargill,0.367630644,0.3688,0.434760292,NA,0.434760292,FALSE,NA,NA,FALSE,FALSE,FALSE
"SMITH, Maureen ",United Future,2008,Invercargill,0.007407407,0.0091,0.014577559,NA,0.014577559,FALSE,NA,NA,FALSE,FALSE,FALSE
"CARLINE, Ian ",ACT,2011,Invercargill,0.008673206,0.0123,0.011973617,0.011973617,0.011973617,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"SOPER, Lesley",Labour Party,2011,Invercargill,0.347960764,0.2873,0.367630644,0.367630644,0.367630644,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ROY, Eric",National Party,2011,Invercargill,0.545792463,0.4988,0.55971588,0.55971588,0.55971588,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"KENNEDY, David ",Green Party,2011,Invercargill,0.076923077,0.0842,0.049518011,NA,0.049518011,FALSE,NA,NA,FALSE,FALSE,FALSE
"KENNEDY, David ",Green Party,2014,Invercargill,0.074243813,0.0757,0.076923077,0.076923077,0.076923077,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"SOPER, Lesley",Labour Party,2014,Invercargill,0.298502903,0.2507,0.347960764,0.347960764,0.347960764,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"STORR, Laura ",Conservative Party,2014,Invercargill,0.021387107,0.0368,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"DOWIE, Sarah ",National Party,2014,Invercargill,0.520928811,0.4948,0.545792463,NA,0.545792463,FALSE,NA,NA,FALSE,FALSE,FALSE
