Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Candidate Previous Vote,Previous Candidate Vote electorate,Same Candidate,Same Electorate,Same Party,Incumbent,No Candidate Run Last Election
"SAMUELS, Dover",Labour Party,2002,Te Tai Tokerau,0.504035874,0.4723,0.473205425,0.473205425,0.473205425,TRUE,TRUE,TRUE,TRUE,FALSE
"SAMUELS, Dover",Labour Party,2005,Te Tai Tokerau,0.344474687,0.4933,0.504035874,0.504035874,0.504035874,TRUE,TRUE,TRUE,FALSE,FALSE
"SHORTLAND, Waihoroi ",Maori Party,2011,Te Tai Tokerau,0.166054451,0.1116,0.619569802,NA,0.619569802,FALSE,NA,NA,FALSE,FALSE
"TASHKOFF, Peter ",ACT,2008,Te Tai Tokerau,0.035006326,0.0056,0.015437204,NA,0.015437204,FALSE,NA,NA,FALSE,FALSE
"BEDWELL, J Cliff",National Party,1996,Te Tai Tonga,0.05532675,0.0855,NA,NA,NA,NA,NA,NA,NA,NA
"BEDWELL, J Cliff",National Party,1999,Te Tai Tonga,0.053058375,0.0838,0.05532675,0.05532675,0.05532675,TRUE,TRUE,TRUE,FALSE,FALSE
"BEYER, Georgina",Mana,2014,Te Tai Tonga,0.101453856,0.0496,0.081405313,NA,NA,NA,NA,NA,FALSE,TRUE
"BUTTON, Ngaire ",Maori Party,2014,Te Tai Tonga,0.248525074,0.1125,0.317909169,NA,0.317909169,FALSE,NA,NA,FALSE,FALSE
"CALDWELL, Russell ",Jim Anderton's Progressive,2005,Te Tai Tonga,0.038049941,0.0085,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"DEARLOVE, Clinton ",Mana,2011,Te Tai Tonga,0.081405313,0.0592,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"KAIWAI, Hone",Alliance,1996,Te Tai Tonga,0.095072694,0.1131,NA,NA,NA,NA,NA,NA,NA,NA
"KARAITIANA, William March",National Party,2002,Te Tai Tonga,0.110550162,0.0679,0.053058375,NA,0.053058375,FALSE,NA,NA,FALSE,FALSE
"KATENE, Rahui ",Maori Party,2008,Te Tai Tonga,0.47304568,0.2226,0.351529564,NA,0.351529564,FALSE,NA,NA,FALSE,FALSE
"KATENE, Rahui ",Maori Party,2011,Te Tai Tonga,0.317909169,0.1349,0.47304568,0.47304568,0.47304568,TRUE,TRUE,TRUE,TRUE,FALSE
"LANGSBURY, Dora Roimata ",Green Party,2008,Te Tai Tonga,0.10897774,0.0721,0.1238785,NA,0.1238785,FALSE,NA,NA,FALSE,FALSE
"LANGSBURY, Dora Roimata ",Green Party,2011,Te Tai Tonga,0.152420737,0.1582,0.10897774,0.10897774,0.10897774,TRUE,TRUE,TRUE,FALSE,FALSE
"LANGSBURY, Dora Roimata ",Green Party,2014,Te Tai Tonga,0.161293721,0.1651,0.152420737,0.152420737,0.152420737,TRUE,TRUE,TRUE,FALSE,FALSE
"MURRAY, Witana",United Future,2002,Te Tai Tonga,0.045566343,0.0321,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"OHIA, Monte ",Maori Party,2005,Te Tai Tonga,0.351529564,0.1755,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"OKEROA, Mahara",Labour Party,1999,Te Tai Tonga,0.492723269,0.5381,0.365801618,NA,0.365801618,FALSE,NA,NA,FALSE,FALSE
"OKEROA, Mahara",Labour Party,2002,Te Tai Tonga,0.63171521,0.5114,0.492723269,0.492723269,0.492723269,TRUE,TRUE,TRUE,TRUE,FALSE
"OKEROA, Mahara",Labour Party,2005,Te Tai Tonga,0.486541995,0.5789,0.63171521,0.63171521,0.63171521,TRUE,TRUE,TRUE,TRUE,FALSE
"OKEROA, Mahara",Labour Party,2008,Te Tai Tonga,0.41797658,0.4958,0.486541995,0.486541995,0.486541995,TRUE,TRUE,TRUE,TRUE,FALSE
"PETERS, John",ACT,1999,Te Tai Tonga,0.013318297,0.0104,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"TIRIKATENE, Rino ",Labour Party,2011,Te Tai Tonga,0.406169666,0.3852,0.41797658,NA,0.41797658,FALSE,NA,NA,FALSE,FALSE
"TIRIKATENE, Rino ",Labour Party,2014,Te Tai Tonga,0.42920354,0.3692,0.406169666,0.406169666,0.406169666,TRUE,TRUE,TRUE,TRUE,FALSE
"TIRIKATENE-SULLIVAN, Whetu",Labour Party,1996,Te Tai Tonga,0.365801618,0.3539,NA,NA,NA,NA,NA,NA,NA,NA
"TUREI, Metiria",Green Party,2005,Te Tai Tonga,0.1238785,0.0647,NA,0.12823635,NA,NA,FALSE,TRUE,FALSE,TRUE
"WINITANA, Vern",Alliance,1999,Te Tai Tonga,0.098974276,0.0782,0.095072694,NA,0.095072694,FALSE,NA,NA,FALSE,FALSE
"WINITANA, Vern",Alliance,2002,Te Tai Tonga,0.051909385,0.0256,0.098974276,0.098974276,0.098974276,TRUE,TRUE,TRUE,FALSE,FALSE
"WYLLIE, Tutekawa",New Zealand First Party,1996,Te Tai Tonga,0.379943433,0.3247,NA,NA,NA,NA,NA,NA,NA,NA
"WYLLIE, Tutekawa",New Zealand First Party,1999,Te Tai Tonga,0.249879169,0.104,0.379943433,0.379943433,0.379943433,TRUE,TRUE,TRUE,TRUE,FALSE
"BAKER, Kahukore",New Zealand First Party,1999,Waiariki,0.122867482,0.152,0.507314052,NA,NA,NA,NA,NA,FALSE,TRUE
"FLAVELL, Te Ururoa James ",Maori Party,2005,Waiariki,0.580137217,0.3079,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"FLAVELL, Te Ururoa James ",Maori Party,2008,Waiariki,0.68163482,0.3526,0.580137217,0.580137217,0.580137217,TRUE,TRUE,TRUE,TRUE,FALSE
"FLAVELL, Te Ururoa James ",Maori Party,2011,Waiariki,0.430445625,0.2121,0.68163482,0.68163482,0.68163482,TRUE,TRUE,TRUE,TRUE,FALSE
"FLAVELL, Te Ururoa James ",Maori Party,2014,Waiariki,0.455613851,0.2201,0.430445625,0.430445625,0.430445625,TRUE,TRUE,TRUE,TRUE,FALSE
"HETA, Sharon",Alliance,2002,Waiariki,0.035856047,0.0169,0.126945833,NA,0.126945833,FALSE,NA,NA,FALSE,FALSE
"KAWE, Huikakahu Brian",United Future,2002,Waiariki,0.056364117,0.0273,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"MITCHELL, Hamuera Walker",National Party,2002,Waiariki,0.089706272,0.0374,0.036934919,NA,0.036934919,FALSE,NA,NA,FALSE,FALSE
"NGATAI, George",National Party,1999,Waiariki,0.036934919,0.0459,0.024110163,NA,NA,NA,NA,NA,FALSE,TRUE
"RIRINUI, Mita",Labour Party,1999,Waiariki,0.451088517,0.5492,0.306475437,NA,NA,NA,NA,NA,FALSE,TRUE
"RIRINUI, Mita",Labour Party,2002,Waiariki,0.619277587,0.5293,0.451088517,0.451088517,0.451088517,TRUE,TRUE,TRUE,TRUE,FALSE
"RIRINUI, Mita",Labour Party,2005,Waiariki,0.419862783,0.5311,0.619277587,0.619277587,0.619277587,TRUE,TRUE,TRUE,TRUE,FALSE
"RIRINUI, Mita",Labour Party,2008,Waiariki,0.31836518,0.4557,0.419862783,0.419862783,0.419862783,TRUE,TRUE,TRUE,FALSE,FALSE
"SYKES, Annette ",Mana,2011,Waiariki,0.3245148,0.1662,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"SYKES, Annette ",Mana,2014,Waiariki,0.256873033,0.1139,0.3245148,0.3245148,NA,NA,TRUE,FALSE,FALSE,TRUE
"TAHANA, Arapeta",Alliance,1999,Waiariki,0.126945833,0.0586,0.057654739,NA,NA,NA,NA,NA,FALSE,TRUE
"TE KANI, Louis ",Labour Party,2011,Waiariki,0.245039575,0.3505,0.31836518,NA,0.31836518,FALSE,NA,NA,FALSE,FALSE
"WAITITI, Rawiri ",Labour Party,2014,Waiariki,0.273452256,0.3877,0.245039575,NA,0.245039575,FALSE,NA,NA,FALSE,FALSE
