"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"107","BAKSHI, Kanwaljit Singh","National Party",2017,"Manukau East",0.173926936,0.206503932751433,0.181965889101463,0.228865564466408,0
"108","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Manukau East",0.077869291,0.0576532605034669,0.0204354155777191,0.117867022899755,0
"109","SINGH, Satnam","ACT",2017,"Manurewa",NA,0.00226617584912119,0.00068341911302166,0.00777896588812978,0
"110","TUIONO, Teanau","Green Party",2017,"Manurewa",0.043534068,0.0514872767922121,0.0430691708892223,0.0612106583993437,0
"111","WALL, Louisa Hareruia","Labour Party",2017,"Manurewa",0.54230399,0.615480474761017,0.589328365086507,0.641384545248495,1
"112","BUNGARD, Katrina","National Party",2017,"Manurewa",0.295004813,0.292035822310856,0.257561208693427,0.321062685952635,0
"113","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Manurewa",0.052454675,0.0624945843106778,0.0220043143139778,0.132240965093859,0
"114","SWARBRICK, Chloe","Green Party",2017,"Maungakiekie",0.062571817,0.0804118982754923,0.072930765005175,0.0885973573429367,0
"115","RADHAKRISHNAN, Priyanca","Labour Party",2017,"Maungakiekie",0.413350047,0.409992198380477,0.383707191493459,0.434720219859385,0.2332
"116","LEE, Denise","National Party",2017,"Maungakiekie",0.483860859,0.432385756414363,0.394501947415891,0.463259459961861,0.7668
"117","GENTER, Julie Anne","Green Party",2017,"Mt Albert",0.088277858,0.125037882897826,0.112614000631431,0.139283902040142,0
"118","ARDERN, Jacinda","Labour Party",2017,"Mt Albert",0.58714079,0.48519157995638,0.453255768173899,0.517061638208258,0.9998
"119","LEE, Melissa","National Party",2017,"Mt Albert",0.288712012,0.345289747609411,0.313605702104521,0.369113873982208,2e-04
"120","MENENDEZ MARCH, Ricardo","Green Party",2017,"Mt Roskill",0.050977148,0.0752120102968858,0.0679739798425846,0.082986491063521,0
"121","WOOD, Michael","Labour Party",2017,"Mt Roskill",0.565194913,0.524990307963765,0.490877367535881,0.555441153721517,0.9998
"122","PARMAR, Parmjeet","National Party",2017,"Mt Roskill",0.319822149,0.372927405918744,0.341301171579869,0.399919908126773,2e-04
"123","BINDRA, Mahesh","New Zealand First Party",2017,"Mt Roskill",0.071978643,0.0355478537809956,0.0127096490398459,0.119400771283454,0
"124","RUSDEN, Damon","Green Party",2017,"Napier",0.037916624,0.0654452398627455,0.0584221185250239,0.073162523775574,0
"125","NASH, Stuart","Labour Party",2017,"Napier",0.427275507,0.36797104775181,0.333412161386301,0.399216096894153,0.0942
"126","Elliot, David","National Party",2017,"Napier",0.320048925,0.405030105588486,0.37606806050384,0.432833689634379,0.9058
"127","HUFFLETT, Paul","ACT",2017,"Nelson",0.00519507,0.000509241429743711,0.000100256931530449,0.00233109727402654,0
"128","LAWREY, Matt","Green Party",2017,"Nelson",0.091983294,0.108260210808138,0.098506290712017,0.119319354716547,0
"129","BOYACK, Rachel","Labour Party",2017,"Nelson",0.330752776,0.327294827321874,0.296497421620893,0.355909782196966,0
"130","SMITH, Nick","National Party",2017,"Nelson",0.533666089,0.525816618204684,0.484383202751692,0.564848981110062,1
"131","WELLS, Richard","ACT",2017,"New Lynn",NA,0.00569398030559224,0.00137164884516488,0.0173108543423508,0
"132","LEILANI,Tamu","Green Party",2017,"New Lynn",0.079370013,0.0898895471619431,0.0813228559969237,0.0992430253868289,0
"133","RUSSELL, Deborah","Labour Party",2017,"New Lynn",0.508962802,0.449011237193414,0.418717354408565,0.476463951638288,0.9904
"134","GARCIA, Paulo","National Party",2017,"New Lynn",0.368666459,0.378699379466321,0.344393630127478,0.409397116230759,0.0096
"135","BRAMHALL, Stuart","Green Party",2017,"New Plymouth",0.054818293,0.0718370149706954,0.064561849031133,0.0801229676571664,0
"136","HADDOCK, Corie","Labour Party",2017,"New Plymouth",0.319314006,0.298494013907211,0.271203291294282,0.326058333713134,0
"137","YOUNG, Jonathan","National Party",2017,"New Plymouth",0.584218048,0.61150166362919,0.573826568855862,0.643485429141749,1
"138","HAYCOCK, Bruce","ACT",2017,"Northcote",0.011072381,0.0023063503281322,0.000405932362481248,0.00774466158552612,0
"139","JAUNG, Rebekah","Green Party",2017,"Northcote",0.087758868,0.0986366861728794,0.0896887788588911,0.108617825899205,0
"140","HALBERT, Shanan","Labour Party",2017,"Northcote",0.290444946,0.297253809697934,0.267401544356225,0.324826774300413,0
"141","COLEMAN, Jonathan","National Party",2017,"Northcote",0.570125077,0.576798009537498,0.53704567669035,0.613674319985807,1
"142","NELSON, Craig","ACT",2017,"Northland",0.005773791,0.00059758522431042,0.000112744289645603,0.00281495558267778,0
"143","CLENDON, David","Green Party",2017,"Northland",0.105062378,0.103796200595782,0.0931452788918237,0.116282675237755,0
"144","PRIME, Willow-Jean","Labour Party",2017,"Northland",0.258995773,0.261035691089724,0.223189660450913,0.296880879344672,0
