Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Incumbent
"HUSBAND, Stu",New Zealand First Party,2017,Waikato,NA,NA,0.095439538,FALSE
"PROSSER, Richard Ivor ",New Zealand First Party,2017,Waimakariri,NA,NA,0.028818737,FALSE
"MARK, Ron",New Zealand First Party,2017,Wairarapa,NA,NA,0.233549959,FALSE
"FAMILTON, Alexander",New Zealand First Party,2017,Waitaki,NA,NA,NA,FALSE
"FOSTER, Andy",New Zealand First Party,2017,Wellington Central,NA,NA,0.015210689,FALSE
"FARRELLY, Jackie",New Zealand First Party,2017,West Coast Tasman,NA,NA,NA,FALSE
"SKIPWORTH, Reginald Herbert",New Zealand First Party,2017,Whanganui,NA,NA,NA,FALSE
"JONES, Shane",New Zealand First Party,2017,Whangarei,NA,NA,0.081384663,FALSE
"APANUI, Tane John",New Zealand First Party,2017,Wigram,NA,NA,NA,FALSE
"LIGHT, Damian ",United Future,2017,Botany,NA,NA,0.004613492,FALSE
"GASKIN, Ian Camden",United Future,2017,Christchurch Central,NA,NA,NA,FALSE
"TODD, Quentin ",United Future,2017,Hamilton West,NA,NA,0.002170094,FALSE
"FOSTER, John",United Future,2017,Kaikoura,NA,NA,NA,FALSE
"SHEFFIELD, Kelleigh",United Future,2017,Mana,NA,NA,NA,FALSE
"HUBSCHER, John",United Future,2017,New Lynn,NA,NA,NA,FALSE
"NADAKUITAVUKI, Bale",United Future,2017,Ohariu,NA,NA,NA,FALSE
"RICKARD, Ben",United Future,2017,Tauranga,NA,NA,NA,FALSE
