"","Year","Electorate","ACT","Alliance","Conservative Party","Green Party","Jim Anderton's Progressive","Labour Party","Mana","Maori Party","National Party","New Zealand First Party","United Future"
"121",1999,"Wigram",0.018739049,0.503073679,NA,0.03507261,NA,0.177233986,NA,NA,0.209515042,0.017907522,NA
"122",2002,"Aoraki",0.018693701,0.006360378,NA,0.042843767,0.014399638,0.52678139,NA,NA,0.31843864,NA,0.037968553
"123",2002,"Auckland Central",0.039847517,0.01189235,NA,0.202398019,0.010849733,0.433272514,NA,NA,0.263684348,NA,0.025087971
"124",2002,"Banks Peninsula",0.023098654,0.006480917,NA,0.11696117,0.017891763,0.449592865,NA,NA,0.337229269,NA,0.035561956
"125",2002,"Bay of Plenty",0.012279889,NA,NA,0.036343175,0.008241758,0.214947703,NA,NA,0.429465113,0.2442076,0.040745399
"126",2002,"Christchurch Central",0.024919877,0.020766564,NA,0.058571522,0.024887174,0.56216888,NA,NA,0.223592125,NA,0.037935771
"127",2002,"Christchurch East",0.027171982,0.010177377,NA,0.050305321,0.026945818,0.639203903,NA,NA,0.158960938,NA,0.049497593
"128",2002,"Clevedon",0.062050185,0.007423977,NA,0.046262076,0.011022499,0.275562472,NA,NA,0.376937042,0.118491863,NA
"129",2002,"Clutha-Southland",0.013638712,0.004029619,NA,0.020836921,0.00578612,0.322059583,NA,NA,0.556535216,0.036473222,0.025555364
"130",2002,"Coromandel",0.022839031,NA,NA,0.228805024,0.010871497,0.259138575,NA,NA,0.435630073,NA,0.032969963
"131",2002,"Dunedin North",0.017608018,0.019842882,NA,0.068671272,0.010361642,0.595049438,NA,NA,0.234863876,NA,0.023601517
"132",2002,"Dunedin South",0.026661287,0.018653589,NA,0.062789038,0.02327819,0.63310469,NA,NA,0.176107266,NA,0.041528291
"133",2002,"East Coast",0.020307276,0.01379899,NA,0.049719041,NA,0.516359627,NA,NA,0.326339,NA,0.055942812
"134",2002,"East Coast Bays",0.064211612,0.010181068,NA,0.054384947,0.016367034,0.34151685,NA,NA,0.390940138,NA,0.092531735
"135",2002,"Epsom",0.222162775,0.009976711,NA,0.057625732,NA,0.250015736,NA,NA,0.426858438,NA,0.023006232
"136",2002,"Hamilton East",0.023980586,0.005651882,NA,0.053166012,0.005651882,0.409585848,NA,NA,0.389979883,0.0670243,0.035156624
"137",2002,"Hamilton West",0.043300681,0.005445791,NA,0.03994687,0.007770214,0.48527312,NA,NA,0.300182633,0.069433837,0.030948033
"138",2002,"Helensville",NA,0.020313265,NA,NA,0.009544787,0.282148102,NA,NA,0.341759318,0.095273058,0.041395707
"139",2002,"Hutt South",0.067271103,0.019225042,NA,0.057112604,0.018728699,0.490850733,NA,NA,0.233711657,NA,0.096290659
"140",2002,"Ilam",0.039465858,0.01305615,NA,0.042172258,0.012996669,0.353943612,NA,NA,0.469099453,NA,0.052343564
"141",2002,"Invercargill",0.010493144,0.006771933,NA,0.032284019,0.033725569,0.487713299,NA,NA,0.394113111,NA,0.027020685
"142",2002,"Kaikoura",0.01438397,NA,NA,0.072642191,0.011463208,0.379887566,NA,NA,0.47627273,NA,0.020225495
"143",2002,"Mana",0.027734497,0.014196184,NA,0.072227416,0.013815311,0.504691666,NA,NA,0.283923687,NA,0.057581109
"144",2002,"Mangere",0.019368753,0.014516196,NA,0.036249015,0.025258181,0.746339845,NA,NA,0.108664095,NA,0.031272034
"145",2002,"Manukau East",0.052975851,0.00897509,NA,NA,0.029473284,0.629131014,NA,NA,0.223844837,NA,0.033618559
"146",2002,"Manurewa",0.03902439,0.011290323,NA,0.04693155,0.012942565,0.62238395,NA,NA,0.128756884,0.073996853,0.039103068
"147",2002,"Maungakiekie",0.036660743,0.008576064,NA,0.043034845,0.014409333,0.551379124,NA,NA,0.296299158,NA,0.033493008
"148",2002,"Mt Albert",0.05527029,0.011909856,NA,0.054806732,0.010661817,0.695835116,NA,NA,0.124447297,NA,0.02588789
"149",2002,"Mt Roskill",0.051442738,0.011603884,NA,NA,0.007885132,0.643963914,NA,NA,0.171716824,0.04479719,0.043144412
"150",2002,"Napier",0.043563295,0.021639696,NA,0.056212738,NA,0.462414435,NA,NA,0.331282925,NA,0.049493707
"151",2002,"Nelson",NA,0.01090408,NA,0.122341382,0.006320772,0.345904979,NA,NA,0.472679887,NA,0.022826673
"152",2002,"New Lynn",0.052664975,0.016567964,NA,0.060384941,0.013959391,0.588233221,NA,NA,0.193950931,NA,0.051854202
"153",2002,"New Plymouth",NA,NA,NA,0.033502403,0.003436999,0.697577416,NA,NA,0.199379338,NA,0.048685264
"154",2002,"North Shore",0.088080784,0.008376138,NA,0.055831193,0.008638805,0.290975951,NA,NA,0.439761849,0.058749708,0.038787065
"155",2002,"Northcote",0.041107108,0.006059613,NA,0.04238454,0.082869309,0.407959384,NA,NA,0.322011137,0.050049132,0.037307566
"156",2002,"Northland",0.02164256,0.005970361,NA,0.088951278,0.011976261,0.195529337,NA,NA,0.464124525,0.155691389,0.028394755
"157",2002,"Ohariu",0.024642932,0.006647304,NA,0.030182352,0.00628799,0.204239902,NA,NA,0.132946073,NA,0.579543073
"158",2002,"Otago",0.041244342,0.014056225,NA,NA,0.013960604,0.44983107,NA,NA,0.428029579,NA,0.035538981
"159",2002,"Otaki",0.022248845,0.009954932,NA,0.047007816,0.014033887,0.530321182,NA,NA,0.309658281,NA,NA
"160",2002,"Pakuranga",0.075859257,0.004954842,NA,0.03261415,0.014989965,0.296475163,NA,NA,0.439350226,0.062750878,0.045816608
"161",2002,"Palmerston North",NA,0.014236525,NA,0.047543372,NA,0.563898821,NA,NA,0.311382598,NA,0.036054827
"162",2002,"Piako",0.046618252,0.006191225,NA,0.041464476,0.010474884,0.340149259,NA,NA,0.394397778,0.110505003,0.034503531
"163",2002,"Port Waikato",0.049970529,NA,NA,0.059335909,0.006974916,0.261313773,NA,NA,0.456873404,0.11480778,0.032942563
"164",2002,"Rakaia",0.02840963,NA,NA,0.049954127,0.017811383,0.309848461,NA,NA,0.502072195,NA,0.057958176
"165",2002,"Rangitikei",0.019889353,0.013372705,NA,NA,0.012659946,0.354478498,NA,NA,0.534874249,NA,0.04150969
"166",2002,"Rimutaka",0.037130051,0.009854722,NA,0.040277204,0.013097244,0.594080809,NA,NA,0.193057189,NA,0.062211908
"167",2002,"Rodney",0.042699425,0.006561965,NA,0.096998912,0.00827243,0.253832996,NA,NA,0.395832685,0.123806562,0.057347224
"168",2002,"Rongotai",0.033386081,0.015886314,NA,0.106798225,0.010735673,0.561481895,NA,NA,0.204877595,NA,0.049675758
"169",2002,"Rotorua",NA,0.006255138,NA,0.038531651,0.006934267,0.513993638,NA,NA,0.237194839,0.092754763,0.053258033
"170",2002,"Tamaki",0.140869779,0.006771106,NA,0.0424733,0.01246499,0.315902865,NA,NA,0.353051614,0.066510726,0.048321074
"171",2002,"Taranaki-King Country",0.062719427,NA,NA,0.053430369,0.023222645,0.249451434,NA,NA,0.511849035,NA,0.046408719
"172",2002,"Taupo",0.039773791,0.008014681,NA,0.05089697,0.009774915,0.556196397,NA,NA,0.289240103,NA,0.032620501
"173",2002,"Tauranga",0.00921659,NA,NA,0.026728111,0.003963134,0.208387097,NA,NA,0.163195084,0.526728111,0.050599078
"174",2002,"Te Atatu",0.032727409,0.0244614,NA,NA,0.013652005,0.629151706,NA,NA,0.145459306,0.067736385,0.057600239
"175",2002,"Tukituki",0.051561504,0.006787763,NA,0.04318037,0.009560229,0.519056724,NA,NA,0.314786488,NA,NA
"176",2002,"Waimakariri",0.014145325,0.004645622,NA,0.028350208,0.017361525,0.523257892,NA,NA,0.209499702,0.167212627,0.023883264
"177",2002,"Wairarapa",0.020384201,0.005185741,NA,0.028081276,0.007273083,0.442647011,NA,NA,0.234826,0.050618049,0.020123284
"178",2002,"Waitakere",0.02413934,0.275671259,NA,0.042856612,0.008095963,0.36231292,NA,NA,0.196642775,0.04638467,0.029784231
"179",2002,"Wellington Central",0.077787572,0.013579771,NA,0.130453944,NA,0.410588365,NA,NA,0.295421992,0.015893565,0.025837373
"180",2002,"West Coast-Tasman",0.019051139,0.006988778,NA,0.079967744,0.009878368,0.538270278,NA,NA,0.278811908,NA,0.037127881
"181",2002,"Whanganui",NA,0.009053336,NA,0.044676245,0.018500295,0.463655448,NA,NA,0.395755429,NA,0.023912616
"182",2002,"Whangarei",0.040561671,0.007474356,NA,0.036902677,0.004878659,0.331967726,NA,NA,0.43248061,0.11802602,0.008381286
"183",2002,"Wigram",0.021810424,0.018499061,NA,0.0535231,0.35679944,0.255675486,NA,NA,0.208870634,NA,0.043811889
"184",2005,"Aoraki",NA,NA,NA,0.060757175,0.009566456,0.33706493,NA,NA,0.543659678,0.035823326,0.010177081
"185",2005,"Auckland Central",NA,NA,NA,0.150369676,0.007497657,0.445798188,NA,0.009267937,0.336144955,0.028116214,0.013016766
"186",2005,"Banks Peninsula",NA,0.002972225,NA,0.113866967,0.022547914,0.442041611,NA,NA,0.393871067,NA,0.024700215
"187",2005,"Bay of Plenty",NA,NA,NA,0.033096927,0.006064344,0.206393257,NA,0.008839552,0.587521842,0.137526981,0.019837599
"188",2005,"Christchurch Central",NA,NA,NA,0.067138545,0.032372229,0.531071094,NA,0.005620901,0.295721869,0.030706776,0.022899969
"189",2005,"Christchurch East",NA,0.004860393,NA,0.049431231,0.026990693,0.610134436,NA,NA,0.261737332,NA,0.035056877
"190",2005,"Clevedon",NA,NA,NA,0.039191291,0.012337999,0.246448937,NA,0.008605495,0.600518403,0.055261794,0.024261275
"191",2005,"Clutha-Southland",NA,NA,NA,0.027257766,NA,0.23575396,NA,NA,0.675478297,0.033737914,0.023657684
"192",2005,"Coromandel",NA,NA,NA,0.1549511,0.007844336,0.236858191,NA,NA,0.53198859,0.050020375,0.010696822
"193",2005,"Dunedin North",NA,0.008376749,NA,0.074982123,0.010317704,0.554193482,NA,NA,0.316273368,NA,0.020328941
"194",2005,"Dunedin South",NA,0.005426436,NA,0.062967134,0.01924849,0.573768813,NA,NA,0.269069315,0.032763387,0.0227296
"195",2005,"East Coast",NA,NA,NA,0.036730471,NA,0.414174858,NA,0.019555096,0.454733575,0.035385411,0.03942059
"196",2005,"East Coast Bays",NA,NA,NA,0.035658915,0.007028424,0.275245478,NA,0.003307494,0.477209302,0.026149871,0.01126615
"197",2005,"Epsom",NA,NA,NA,0.073626178,0.007291481,0.298950738,NA,NA,0.591677041,NA,0.016539214
