"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"118","ARDERN, Jacinda","Labour Party",2017,"Mt Albert",0.58714079,0.530165733825753,0.516233594967088,0.544409219728609,1
"119","LEE, Melissa","National Party",2017,"Mt Albert",0.288712012,0.340229706747844,0.331932788077343,0.348776651266174,0
"120","MENENDEZ MARCH, Ricardo","Green Party",2017,"Mt Roskill",0.050977148,0.0608782981148793,0.0553830223889443,0.0663633110903186,0
"121","WOOD, Michael","Labour Party",2017,"Mt Roskill",0.565194913,0.552034617197688,0.540888402495577,0.563206243972135,1
"122","PARMAR, Parmjeet","National Party",2017,"Mt Roskill",0.319822149,0.367771640361397,0.359189334522815,0.376301653923284,0
"123","BINDRA, Mahesh","New Zealand First Party",2017,"Mt Roskill",0.071978643,0.0791151523255842,0.0562071942340181,0.104561519340286,0
"124","RUSDEN, Damon","Green Party",2017,"Napier",0.037916624,0.0523325922657853,0.0473407840692171,0.0574458041465574,0
"125","NASH, Stuart","Labour Party",2017,"Napier",0.427275507,0.392538106884955,0.381947545139961,0.402357204945536,0.1726
"126","Elliot, David","National Party",2017,"Napier",0.320048925,0.400330307580912,0.39232661416317,0.409026223497481,0.8274
"127","HUFFLETT, Paul","ACT",2017,"Nelson",0.00519507,0.000577779710844252,0.000142419532724382,0.00170411496950132,0
"128","LAWREY, Matt","Green Party",2017,"Nelson",0.091983294,0.0883020387504792,0.0816737568895829,0.0949663059692383,0
"129","BOYACK, Rachel","Labour Party",2017,"Nelson",0.330752776,0.355329246373868,0.345291987794402,0.365404883725304,0
"130","SMITH, Nick","National Party",2017,"Nelson",0.533666089,0.519029674766599,0.507517975425977,0.530241130682831,1
"131","WELLS, Richard","ACT",2017,"New Lynn",NA,0.00692142227067988,0.003030546418538,0.0127060105096131,0
"132","LEILANI,Tamu","Green Party",2017,"New Lynn",0.079370013,0.0729495176539966,0.0663320465055486,0.0790059509501724,0
"133","RUSSELL, Deborah","Labour Party",2017,"New Lynn",0.508962802,0.471260631839728,0.460904465448273,0.482150446631094,1
"134","GARCIA, Paulo","National Party",2017,"New Lynn",0.368666459,0.373282740163479,0.364377028817625,0.382525851873226,0
"135","BRAMHALL, Stuart","Green Party",2017,"New Plymouth",0.054818293,0.0578417921665604,0.0517962193535326,0.0640670672731261,0
"136","HADDOCK, Corie","Labour Party",2017,"New Plymouth",0.319314006,0.317303775478782,0.308551404149128,0.325816115915318,0
"137","YOUNG, Jonathan","National Party",2017,"New Plymouth",0.584218048,0.605310573265586,0.595148814542884,0.61609500546413,1
"138","HAYCOCK, Bruce","ACT",2017,"Northcote",0.011072381,0.0027071097732811,0.000888704916166539,0.00629408232969413,0
"139","JAUNG, Rebekah","Green Party",2017,"Northcote",0.087758868,0.0801128624679793,0.0735246354310023,0.0866231740388258,0
"140","HALBERT, Shanan","Labour Party",2017,"Northcote",0.290444946,0.322124561286065,0.312453486785267,0.331494290230659,0
"141","COLEMAN, Jonathan","National Party",2017,"Northcote",0.570125077,0.570376527629995,0.55970984992773,0.581325092298403,1
"142","NELSON, Craig","ACT",2017,"Northland",0.005773791,0.000688465083609402,0.00018273962829076,0.00203334839371346,0
"143","CLENDON, David","Green Party",2017,"Northland",0.105062378,0.083281279469527,0.0761287105097803,0.0904024504446495,0
"144","PRIME, Willow-Jean","Labour Party",2017,"Northland",0.258995773,0.286344619664521,0.275828675112947,0.296789863525598,0
"145","KING, Matt","National Party",2017,"Northland",0.527477059,0.479693138904724,0.469499470933097,0.489819189824087,1
"146","KEARNEY, Nick","ACT",2017,"North Shore",0.015264829,0.00272796020111903,0.000857877331697202,0.00638776711459849,0
"147","GRAHAM, Kennedy","Green Party",2017,"North Shore",0.09896527,0.0809416732826287,0.0740274613955556,0.0878761428020796,0
"148","UDANGA, Romy","Labour Party",2017,"North Shore",0.193320357,0.237968650197689,0.228329472209957,0.247524297785012,0
"149","BARRY, Maggie","National Party",2017,"North Shore",0.631492675,0.656366285792244,0.645655628345684,0.667654010279839,1
"150","MOORE, Andi","ACT",2017,"Ohariu",0.005696846,0.00662449249545014,0.00286633689701539,0.0161017654074865,0
"151","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Ohariu",0.075076297,0.0816261251494644,0.0609771715445675,0.10905256587345,0
"152","O'CONNOR, Greg","Labour Party",2017,"Ohariu",0.349338759,0.345115989698056,0.295093902150055,0.40345276472677,0.5866
"153","HUDSON, Brett","National Party",2017,"Ohariu",0.166225839,0.178425477832612,0.151619411838209,0.21023641874564,0
"154","DUNNE, Peter","United Future",2017,"Ohariu",0.368565615,0.333828286047958,0.277690488181161,0.400839157070348,0.4134
"155","FERGUSON, Sam","Green Party",2017,"Otaki",0.065010733,0.0659648460946181,0.0598925726236114,0.072089700280539,0
"156","McCANN, Rob","Labour Party",2017,"Otaki",0.348461617,0.353193872184019,0.344062713771578,0.362223397045259,0
"157","GUY, Nathan","National Party",2017,"Otaki",0.554022284,0.554777722021295,0.544378610870281,0.565540088941049,1
"158","MAXWELL, James","United Future",2017,"Otaki",0.002355833,0.000826933962879857,0.000139365798138916,0.00320406559370058,0
"159","HUNT, Guy","Green Party",2017,"Pakuranga",NA,0.0357042554387267,0.0312781449107567,0.0404762856131947,0
"160","KIRKER, Barry","Labour Party",2017,"Pakuranga",0.225124378,0.2628477980746,0.252852398426832,0.272615277838301,0
"161","BROWN, Simeon","National Party",2017,"Pakuranga",0.610385572,0.565121052671038,0.554211465260551,0.57684754720339,1
"162","NASH, Thomas","Green Party",2017,"Palmerston North",NA,0.0525195925811494,0.0465642388763264,0.0588906691966187,0
"163","LEES-GALLOWAY, Iain","Labour Party",2017,"Palmerston North",0.500816827,0.500762983315326,0.489637029428951,0.511638677842631,1
"164","PIERCE, Adrienne","National Party",2017,"Palmerston North",0.435164386,0.418006576236639,0.408664037329649,0.427556815713283,0
"165","BALL, Darroch","New Zealand First Party",2017,"Palmerston North",0.037470241,0.0901911519942453,0.0707841860989402,0.111683176093823,0
"166","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Papakura",0.053696173,0.0480744406584093,0.0416765533046905,0.054957983501983,0
"167","PABLA, Jesse","Labour Party",2017,"Papakura",0.313940152,0.340581839796389,0.332434638582969,0.348825549651544,0
"168","COLLINS, Judith","National Party",2017,"Papakura",0.467521635,0.533183202819304,0.523265405369288,0.54315895160221,1
"169","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Papakura",0.038338328,0.103624534406266,0.0865735145085812,0.123630644716775,0
"170","SAGE, Eugenie","Green Party",2017,"Port Hills",0.07818888,0.0897621515877781,0.0833280740282857,0.0965646591037456,0
"171","DYSON, Ruth","Labour Party",2017,"Port Hills",0.464431725,0.445785408303578,0.433009464649485,0.458510213900196,0.9726
"172","KORAKO, Nuk","National Party",2017,"Port Hills",0.407399836,0.426438492817798,0.417949156105144,0.435557737505779,0.0274
"173","O'ROURKE, Denis","New Zealand First Party",2017,"Port Hills",0.101240747,0.10896726919304,0.0801500447487372,0.140704444737805,0
"174","CORBETT, Tom","ACT",2017,"Rangitata",0.013406776,0.000932972244409191,0.00026375339246595,0.0027653674786199,0
"175","MATHERS, Mojo","Green Party",2017,"Rangitata",0.10132976,0.0708282744278905,0.063000738809455,0.0788748762422084,0
"176","LUXTON, Jo","Labour Party",2017,"Rangitata",0.269070879,0.305782829379646,0.297603280969694,0.314081907841231,0
