"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"172","Kaikoura",2017,"ACT",0.0039,0.0024908411448497,0.00120133667120149,0.00464516384055406
"173","Kaikoura",2017,"Conservative Party",0.0466,0.00065855926593518,0.000313740359757307,0.00158671898015846
"174","Kaikoura",2017,"Green Party",0.0918,0.11111723383999,0.101576869783876,0.121099626778407
"175","Kaikoura",2017,"Labour Party",0.171,0.161603898934335,0.150063585879232,0.174548132579605
"176","Kaikoura",2017,"Mana",0.0046,0.000289885677708647,0.000119612395503988,0.00100618510398704
"177","Kaikoura",2017,"Maori Party",0.0036,0.00332931383593999,0.00249815835129004,0.00597366273215207
"178","Kaikoura",2017,"National Party",0.5664,0.546933286619023,0.530641999264912,0.562683643763457
"179","Kaikoura",2017,"New Zealand First Party",0.0985,0.152705122526489,0.132818792536371,0.174032701832163
"180","Kaikoura",2017,"United Future",0.0026,0.00341463972860344,0.00131927544924856,0.00706006787808513
"181","Kelston",2017,"ACT",0.01,0.00638677216628127,0.00308035043897818,0.0106385512381583
"182","Kelston",2017,"Conservative Party",0.0296,0.000418312323426638,0.000199285722077603,0.00100787300027233
"183","Kelston",2017,"Green Party",0.1074,0.12449147648486,0.116039635145327,0.13354045029565
"184","Kelston",2017,"Labour Party",0.4213,0.415024943031,0.407317903552095,0.424524118339524
"185","Kelston",2017,"Mana",0.0141,0.000888562620802591,0.000366637994914399,0.00308417607961245
"186","Kelston",2017,"Maori Party",0.0031,0.00286690913650388,0.00215119191361087,0.00520557021601766
"187","Kelston",2017,"National Party",0.3232,0.303733286619023,0.287441999264912,0.319483643763457
"188","Kelston",2017,"New Zealand First Party",0.0845,0.132368625178454,0.114673891763122,0.152192417874926
"189","Kelston",2017,"United Future",0.0016,0.00231861731690332,0.00081186181492219,0.00555894805535714
"190","Mana",2017,"ACT",0.0022,0.00140508987658188,0.0006776770965752,0.00289097712126761
"191","Mana",2017,"Conservative Party",0.0267,0.000377329021469298,0.000179761107414595,0.000909128686056457
"192","Mana",2017,"Green Party",0.128,0.14542048078073,0.136583065855151,0.155729730104523
"193","Mana",2017,"Labour Party",0.3439,0.326316652976533,0.304720745504996,0.346696858557705
"194","Mana",2017,"Mana",0.0096,0.000604978805652828,0.000249625868877888,0.00209986456484252
"195","Mana",2017,"Maori Party",0.0062,0.00573381827300776,0.00430238382722174,0.00835920142372205
"196","Mana",2017,"National Party",0.4053,0.385833286619023,0.369541999264912,0.401583643763457
"197","Mana",2017,"New Zealand First Party",0.068,0.116923053233031,0.0975110832132839,0.140547851497412
"198","Mana",2017,"United Future",0.0032,0.00393729920364891,0.00162372362984438,0.00728787566565446
"199","Mangere",2017,"ACT",0.0025,0.00159669304157032,0.000770087609744545,0.00315118492309351
"200","Mangere",2017,"Conservative Party",0.0307,0.000433857713824249,0.000206691610398053,0.00104532774014731
"201","Mangere",2017,"Green Party",0.0397,0.0561828029345499,0.0478378944572098,0.0658818086653689
"202","Mangere",2017,"Labour Party",0.6756,0.658016652976533,0.636420745504996,0.678147745777479
"203","Mangere",2017,"Mana",0.0119,0.000749921644507151,0.000309432066629882,0.00260295711683604
"204","Mangere",2017,"Maori Party",0.0045,0.00416164229492499,0.00312269793911256,0.00655270463141372
"205","Mangere",2017,"National Party",0.1566,0.147073477139184,0.139100928390266,0.154781308166742
"206","Mangere",2017,"New Zealand First Party",0.0735,0.119823990208753,0.102152056116122,0.141009937794436
"207","Mangere",2017,"United Future",0.001,0.00169467365493659,0.000507413634326369,0.00489178477502574
"208","Manukau East",2017,"ACT",0.0067,0.00427913735140845,0.00206383479411538,0.00726610948938208
"209","Manukau East",2017,"Conservative Party",0.0208,0.000293949200245745,0.000140038615513993,0.000708235081272445
"210","Manukau East",2017,"Green Party",0.0365,0.0512598705732822,0.0437028058874018,0.0603687978241027
"211","Manukau East",2017,"Labour Party",0.637,0.619416652976533,0.597820745504996,0.63921073338487
"212","Manukau East",2017,"Mana",0.0104,0.000655393706123897,0.000270428024617712,0.0022748532785794
"213","Manukau East",2017,"Maori Party",0.0032,0.0029593900763911,0.00222058520114671,0.00506015321268513
"214","Manukau East",2017,"National Party",0.2029,0.190556887046874,0.180227192658908,0.200543597873767
"215","Manukau East",2017,"New Zealand First Party",0.078,0.119485137706985,0.102894272513897,0.140177712215973
"216","Manukau East",2017,"United Future",7e-04,0.00132238687009523,0.000355189544028458,0.00418558447512648
"217","Manurewa",2017,"ACT",0.0057,0.00364046013478032,0.00175579975021756,0.0063925700152239
"218","Manurewa",2017,"Conservative Party",0.0282,0.000398527281102404,0.000189860046033392,0.000960203331340528
"219","Manurewa",2017,"Green Party",0.0397,0.0575596540988562,0.0485393161472784,0.0678318237985291
"220","Manurewa",2017,"Labour Party",0.5303,0.512716652976533,0.491120745504996,0.5331403791779
"221","Manurewa",2017,"Mana",0.0115,0.000724714194271617,0.00029903098875997,0.00251546275996761
"222","Manurewa",2017,"Maori Party",0.0069,0.00638118485221831,0.00478813683997258,0.00910956154377747
"223","Manurewa",2017,"National Party",0.2769,0.260055209577523,0.245958154988919,0.273684190494066
"224","Manurewa",2017,"New Zealand First Party",0.0949,0.145069303952256,0.12571564882237,0.168283045166287
"225","Manurewa",2017,"United Future",9e-04,0.00165794575079012,0.000456672270893732,0.0050909068099729
"226","Maungakiekie",2017,"ACT",0.0148,0.00945242280609628,0.00455891864968771,0.0155458160584976
"227","Maungakiekie",2017,"Conservative Party",0.0317,0.000447989886912987,0.000213424236143921,0.00107937750367003
"228","Maungakiekie",2017,"Green Party",0.0946,0.114588361104401,0.104514609866321,0.125715193801141
"229","Maungakiekie",2017,"Labour Party",0.353,0.335416652976533,0.313820745504996,0.356270215546465
"230","Maungakiekie",2017,"Mana",0.0109,0.000686903018918316,0.000283429371955102,0.00238422122466495
"231","Maungakiekie",2017,"Maori Party",0.0054,0.00499397075390999,0.00374723752693507,0.00788208070238917
"232","Maungakiekie",2017,"National Party",0.4165,0.397033286619023,0.380741999264912,0.412783643763457
"233","Maungakiekie",2017,"New Zealand First Party",0.0661,0.122070649357591,0.100659972355585,0.147048207406592
"234","Maungakiekie",2017,"United Future",0.0023,0.00314268215598906,0.00116705135895065,0.00696576972464488
"235","Mt Albert",2017,"ACT",0.0097,0.00619516900129283,0.00298793992580884,0.0103639872716467
"236","Mt Albert",2017,"Conservative Party",0.0196,0.00027699059253926,0.000131959464618952,0.00066737536504519
"237","Mt Albert",2017,"Green Party",0.2178,0.23530691321215,0.22645840461282,0.24534021476476
