Electoral District,Maori,Year,Party,Percent,Ratio
Coromandel,FALSE,2011,GREEN PARTY,11.37,1.02802893309222
Dunedin North,FALSE,2011,GREEN PARTY,23.39,2.11482820976492
Dunedin South,FALSE,2011,GREEN PARTY,13.61,1.23056057866184
East Coast,FALSE,2011,GREEN PARTY,10.6,0.958408679927667
East Coast Bays,FALSE,2011,GREEN PARTY,8.06,0.72875226039783
Epsom,FALSE,2011,GREEN PARTY,12.03,1.0877034358047
Hamilton East,FALSE,2011,GREEN PARTY,11.88,1.07414104882459
Hamilton West,FALSE,2011,GREEN PARTY,8.84,0.799276672694394
Helensville,FALSE,2011,GREEN PARTY,8.64,0.78119349005425
Hunua,FALSE,2011,GREEN PARTY,6.88,0.622061482820977
Hutt South,FALSE,2011,GREEN PARTY,11.97,1.08227848101266
Ilam,FALSE,2011,GREEN PARTY,13.42,1.21338155515371
Invercargill,FALSE,2011,GREEN PARTY,8.42,0.76130198915009
Kaikoura,FALSE,2011,GREEN PARTY,11.09,1.00271247739602
Mana,FALSE,2011,GREEN PARTY,12.78,1.15551537070524
Mangere,FALSE,2011,GREEN PARTY,3.85,0.348101265822785
Manukau East,FALSE,2011,GREEN PARTY,3.39,0.306509945750452
Manurewa,FALSE,2011,GREEN PARTY,3.94,0.35623869801085
Maungakiekie,FALSE,2011,GREEN PARTY,9.52,0.860759493670886
Mt Albert,FALSE,2011,GREEN PARTY,17.15,1.5506329113924
Mt Roskill,FALSE,2011,GREEN PARTY,7.27,0.657323688969259
Napier,FALSE,2011,GREEN PARTY,9.81,0.886980108499096
Nelson,FALSE,2011,GREEN PARTY,16.05,1.45117540687161
New Lynn,FALSE,2011,GREEN PARTY,12.15,1.09855334538879
New Plymouth,FALSE,2011,GREEN PARTY,9.65,0.87251356238698
North Shore,FALSE,2011,GREEN PARTY,10.85,0.981012658227848
Northcote,FALSE,2011,GREEN PARTY,10.94,0.989150090415913
Northland,FALSE,2011,GREEN PARTY,11.78,1.06509945750452
Ohariu,FALSE,2011,GREEN PARTY,14.42,1.30379746835443
Otaki,FALSE,2011,GREEN PARTY,9.6,0.867992766726944
Pakuranga,FALSE,2011,GREEN PARTY,6.21,0.561482820976492
Palmerston North,FALSE,2011,GREEN PARTY,10.5,0.949367088607595
Papakura,FALSE,2011,GREEN PARTY,5.47,0.494575045207957
Port Hills,FALSE,2011,GREEN PARTY,19.6,1.77215189873418
Rangitata,FALSE,2011,GREEN PARTY,8.05,0.727848101265823
Rangitikei,FALSE,2011,GREEN PARTY,9.44,0.853526220614828
Rimutaka,FALSE,2011,GREEN PARTY,9.97,0.901446654611212
Rodney,FALSE,2011,GREEN PARTY,8.47,0.765822784810127
Rongotai,FALSE,2011,GREEN PARTY,24.19,2.1871609403255
Rotorua,FALSE,2011,GREEN PARTY,8.57,0.774864376130199
Selwyn,FALSE,2011,GREEN PARTY,11.44,1.03435804701627
Tamaki,FALSE,2011,GREEN PARTY,8.77,0.792947558770344
Taranaki-King Country,FALSE,2011,GREEN PARTY,8.23,0.744122965641953
Taupo,FALSE,2011,GREEN PARTY,7.55,0.682640144665461
Tauranga,FALSE,2011,GREEN PARTY,8.76,0.792043399638336
Te Atatu,FALSE,2011,GREEN PARTY,7.24,0.654611211573237
Tukituki,FALSE,2011,GREEN PARTY,9.66,0.873417721518987
Waikato,FALSE,2011,GREEN PARTY,7.02,0.634719710669078
Waimakariri,FALSE,2011,GREEN PARTY,8.47,0.765822784810127
Wairarapa,FALSE,2011,GREEN PARTY,9.83,0.88878842676311
Waitakere,FALSE,2011,GREEN PARTY,10.63,0.961121157323689
Waitaki,FALSE,2011,GREEN PARTY,11.9,1.07594936708861
Wellington Central,FALSE,2011,GREEN PARTY,27.69,2.50361663652803
West Coast-Tasman,FALSE,2011,GREEN PARTY,14.18,1.28209764918626
Whanganui,FALSE,2011,GREEN PARTY,8.96,0.810126582278481
Whangarei,FALSE,2011,GREEN PARTY,10.64,0.962025316455696
Wigram,FALSE,2011,GREEN PARTY,13.16,1.18987341772152
Hauraki-Waikato,TRUE,2014,GREEN PARTY,9.77,0.913084112149533
Ikaroa-Rawhiti,TRUE,2014,GREEN PARTY,10.43,0.974766355140187
Tamaki Makaurau,TRUE,2014,GREEN PARTY,11.81,1.10373831775701
Te Tai Hauauru,TRUE,2014,GREEN PARTY,11.93,1.11495327102804
Te Tai Tokerau,TRUE,2014,GREEN PARTY,10.06,0.940186915887851
Te Tai Tonga,TRUE,2014,GREEN PARTY,16.51,1.54299065420561
Waiariki,TRUE,2014,GREEN PARTY,8.06,0.753271028037383
Auckland Central,FALSE,2014,GREEN PARTY,22.17,2.07196261682243
Bay of Plenty,FALSE,2014,GREEN PARTY,7.23,0.675700934579439
Botany,FALSE,2014,GREEN PARTY,4.35,0.406542056074766
Christchurch Central,FALSE,2014,GREEN PARTY,15.82,1.4785046728972
Christchurch East,FALSE,2014,GREEN PARTY,12.66,1.18317757009346
Clutha-Southland,FALSE,2014,GREEN PARTY,7.73,0.722429906542056
Coromandel,FALSE,2014,GREEN PARTY,9.82,0.917757009345795
Dunedin North,FALSE,2014,GREEN PARTY,22.94,2.14392523364486
Dunedin South,FALSE,2014,GREEN PARTY,12.29,1.14859813084112
East Coast,FALSE,2014,GREEN PARTY,9.21,0.860747663551402
East Coast Bays,FALSE,2014,GREEN PARTY,8.23,0.769158878504673
Epsom,FALSE,2014,GREEN PARTY,12.52,1.17009345794393
Hamilton East,FALSE,2014,GREEN PARTY,11.02,1.02990654205607
Hamilton West,FALSE,2014,GREEN PARTY,8.21,0.767289719626168
Helensville,FALSE,2014,GREEN PARTY,13.58,1.26915887850467
Hunua,FALSE,2014,GREEN PARTY,5.79,0.541121495327103
Hutt South,FALSE,2014,GREEN PARTY,12.75,1.19158878504673
Ilam,FALSE,2014,GREEN PARTY,12.96,1.21121495327103
Invercargill,FALSE,2014,GREEN PARTY,7.57,0.707476635514019
Kaikoura,FALSE,2014,GREEN PARTY,9.18,0.857943925233645
Kelston,FALSE,2014,GREEN PARTY,10.74,1.00373831775701
Mana,FALSE,2014,GREEN PARTY,12.8,1.19626168224299
Mangere,FALSE,2014,GREEN PARTY,3.97,0.371028037383178
Manukau East,FALSE,2014,GREEN PARTY,3.65,0.341121495327103
Manurewa,FALSE,2014,GREEN PARTY,3.97,0.371028037383178
Maungakiekie,FALSE,2014,GREEN PARTY,9.46,0.88411214953271
Mt Albert,FALSE,2014,GREEN PARTY,21.78,2.03551401869159
Mt Roskill,FALSE,2014,GREEN PARTY,9.67,0.903738317757009
Napier,FALSE,2014,GREEN PARTY,8.77,0.819626168224299
Nelson,FALSE,2014,GREEN PARTY,14.14,1.3214953271028
New Lynn,FALSE,2014,GREEN PARTY,10.05,0.939252336448598
New Plymouth,FALSE,2014,GREEN PARTY,8,0.747663551401869
North Shore,FALSE,2014,GREEN PARTY,10.69,0.999065420560748
Northcote,FALSE,2014,GREEN PARTY,11.61,1.08504672897196
Northland,FALSE,2014,GREEN PARTY,10.84,1.01308411214953
Ohariu,FALSE,2014,GREEN PARTY,15.07,1.40841121495327
Otaki,FALSE,2014,GREEN PARTY,9.46,0.88411214953271
Pakuranga,FALSE,2014,GREEN PARTY,6.35,0.593457943925234
