Electoral District,Maori,Year,Party,Percent,Ratio
Napier,FALSE,2014,NATIONAL PARTY,49.38,0.995163241
Nelson,FALSE,1996,NATIONAL PARTY,30.78,0.872696343
Nelson,FALSE,1999,NATIONAL PARTY,27.03,0.849465745
Nelson,FALSE,2002,NATIONAL PARTY,19.33,0.88345521
Nelson,FALSE,2005,NATIONAL PARTY,37.01,0.89634294
Nelson,FALSE,2008,NATIONAL PARTY,42.46,0.898244129
Nelson,FALSE,2011,NATIONAL PARTY,45.41,0.913865969
Nelson,FALSE,2014,NATIONAL PARTY,44.43,0.895405079
New Lynn,FALSE,1996,NATIONAL PARTY,30.07,0.85256592
New Lynn,FALSE,2002,NATIONAL PARTY,14.81,0.676873857
New Lynn,FALSE,2005,NATIONAL PARTY,33.06,0.80067813
New Lynn,FALSE,2008,NATIONAL PARTY,40.09,0.848106622
New Lynn,FALSE,2011,NATIONAL PARTY,39.22,0.78929362
New Lynn,FALSE,2014,NATIONAL PARTY,39.23,0.790608626
New Plymouth,FALSE,1999,NATIONAL PARTY,29.26,0.919547454
New Plymouth,FALSE,2002,NATIONAL PARTY,21.86,0.999085923
New Plymouth,FALSE,2005,NATIONAL PARTY,44.53,1.078469363
New Plymouth,FALSE,2008,NATIONAL PARTY,50.47,1.067696213
New Plymouth,FALSE,2011,NATIONAL PARTY,53.26,1.071845442
New Plymouth,FALSE,2014,NATIONAL PARTY,55.84,1.12535268
New Plymouth,FALSE,1996,NATIONAL PARTY,36.16,1.02523391
North Shore,FALSE,1996,NATIONAL PARTY,42.89,1.216047633
North Shore,FALSE,1999,NATIONAL PARTY,39.41,1.238529227
North Shore,FALSE,2002,NATIONAL PARTY,27.43,1.253656307
North Shore,FALSE,2005,NATIONAL PARTY,53.49,1.295471058
North Shore,FALSE,2008,NATIONAL PARTY,58.06,1.228263169
North Shore,FALSE,2011,NATIONAL PARTY,62.16,1.250955927
North Shore,FALSE,2014,NATIONAL PARTY,61.71,1.243651753
Northcote,FALSE,1996,NATIONAL PARTY,38.49,1.091295719
Northcote,FALSE,1999,NATIONAL PARTY,33.26,1.045254557
Northcote,FALSE,2002,NATIONAL PARTY,21.54,0.984460695
Northcote,FALSE,2005,NATIONAL PARTY,43.01,1.041656575
Northcote,FALSE,2008,NATIONAL PARTY,50.41,1.066426909
Northcote,FALSE,2011,NATIONAL PARTY,52.26,1.051720668
Northcote,FALSE,2014,NATIONAL PARTY,50.71,1.021966949
Northland,FALSE,1996,NATIONAL PARTY,33.11,0.938758151
Northland,FALSE,1999,NATIONAL PARTY,30.24,0.950345695
Northland,FALSE,2002,NATIONAL PARTY,22.87,1.045246801
Northland,FALSE,2005,NATIONAL PARTY,45.69,1.106563333
Northland,FALSE,2008,NATIONAL PARTY,51.7,1.093716945
Northland,FALSE,2011,NATIONAL PARTY,50.15,1.009257396
Northland,FALSE,2014,NATIONAL PARTY,48.97,0.986900443
Ohariu,FALSE,2008,NATIONAL PARTY,46.27,0.978844933
Ohariu,FALSE,2011,NATIONAL PARTY,49.6,0.99818877
Ohariu,FALSE,2014,NATIONAL PARTY,50.4,1.015719468
Ohariu-Belmont,FALSE,1996,NATIONAL PARTY,43.62,1.236745109
Ohariu-Belmont,FALSE,1999,NATIONAL PARTY,39.56,1.243243243
Ohariu-Belmont,FALSE,2002,NATIONAL PARTY,24.38,1.114259598
Ohariu-Belmont,FALSE,2005,NATIONAL PARTY,43.13,1.044562848
Otago,FALSE,1996,NATIONAL PARTY,38.45,1.09016161
Otago,FALSE,1999,NATIONAL PARTY,33.7,1.059082338
Otago,FALSE,2002,NATIONAL PARTY,26.51,1.211608775
Otago,FALSE,2005,NATIONAL PARTY,44.37,1.074594333
Otaki,FALSE,1996,NATIONAL PARTY,31.8,0.901616104
Otaki,FALSE,1999,NATIONAL PARTY,29.35,0.922375864
Otaki,FALSE,2002,NATIONAL PARTY,20.65,0.943784278
Otaki,FALSE,2005,NATIONAL PARTY,39.2,0.949382417
Otaki,FALSE,2008,NATIONAL PARTY,44.77,0.947112333
Otaki,FALSE,2011,NATIONAL PARTY,46.79,0.941638157
Otaki,FALSE,2014,NATIONAL PARTY,49.08,0.989117291
Owairaka,FALSE,1996,NATIONAL PARTY,32.51,0.921746527
Pakuranga,FALSE,1996,NATIONAL PARTY,44.79,1.269917777
Pakuranga,FALSE,1999,NATIONAL PARTY,40.53,1.273727216
Pakuranga,FALSE,2002,NATIONAL PARTY,26.09,1.192413163
Pakuranga,FALSE,2005,NATIONAL PARTY,53.28,1.290385081
Pakuranga,FALSE,2008,NATIONAL PARTY,59.7,1.262957478
Pakuranga,FALSE,2011,NATIONAL PARTY,62.8,1.263835782
Pakuranga,FALSE,2014,NATIONAL PARTY,60.41,1.21745264
Palmerston North,FALSE,1996,NATIONAL PARTY,32.74,0.92826765
Palmerston North,FALSE,1999,NATIONAL PARTY,28.84,0.906348209
Palmerston North,FALSE,2002,NATIONAL PARTY,21.53,0.984003656
Palmerston North,FALSE,2005,NATIONAL PARTY,36.69,0.88859288
Palmerston North,FALSE,2008,NATIONAL PARTY,40.66,0.86016501
Palmerston North,FALSE,2011,NATIONAL PARTY,44.12,0.887905011
Palmerston North,FALSE,2014,NATIONAL PARTY,43.21,0.870818218
Papakura,FALSE,2008,NATIONAL PARTY,51.48,1.089062831
Papakura,FALSE,2011,NATIONAL PARTY,52.62,1.058965587
Papakura,FALSE,2014,NATIONAL PARTY,51.28,1.033454252
Piako,FALSE,2002,NATIONAL PARTY,26.68,1.219378428
Piako,FALSE,2005,NATIONAL PARTY,50.49,1.222814241
Port Hills,FALSE,2008,NATIONAL PARTY,37.68,0.797122911
Port Hills,FALSE,2011,NATIONAL PARTY,43.66,0.878647615
Port Hills,FALSE,2014,NATIONAL PARTY,46.96,0.946392584
Port Waikato,FALSE,1996,NATIONAL PARTY,37.58,1.065494755
Port Waikato,FALSE,1999,NATIONAL PARTY,36.54,1.148334381
Port Waikato,FALSE,2002,NATIONAL PARTY,27.29,1.24725777
Port Waikato,FALSE,2005,NATIONAL PARTY,54.93,1.330346331
Rakaia,FALSE,1996,NATIONAL PARTY,41.78,1.184576127
Rakaia,FALSE,1999,NATIONAL PARTY,44.97,1.413262099
Rakaia,FALSE,2002,NATIONAL PARTY,33.95,1.551645338
Rakaia,FALSE,2005,NATIONAL PARTY,52.25,1.265439574
Rangitata,FALSE,2008,NATIONAL PARTY,48.57,1.027501587
Rangitata,FALSE,2011,NATIONAL PARTY,53.66,1.079895351
Rangitata,FALSE,2014,NATIONAL PARTY,55.55,1.119508263
Rangitikei,FALSE,1996,NATIONAL PARTY,35.79,1.014743408
Rangitikei,FALSE,1999,NATIONAL PARTY,33.54,1.054054054
Rangitikei,FALSE,2002,NATIONAL PARTY,27.51,1.257312614
Rangitikei,FALSE,2005,NATIONAL PARTY,46.03,1.114797772
Rangitikei,FALSE,2008,NATIONAL PARTY,52.45,1.109583245
Rangitikei,FALSE,2011,NATIONAL PARTY,53.94,1.085530288
Rangitikei,FALSE,2014,NATIONAL PARTY,53.64,1.081015719
Rimutaka,FALSE,1996,NATIONAL PARTY,32.66,0.925999433
Rimutaka,FALSE,1999,NATIONAL PARTY,28.59,0.898491515
Rimutaka,FALSE,2002,NATIONAL PARTY,16.87,0.771023766
Rimutaka,FALSE,2005,NATIONAL PARTY,34.04,0.824412691
Rimutaka,FALSE,2008,NATIONAL PARTY,40.65,0.859953459
Rimutaka,FALSE,2011,NATIONAL PARTY,44.75,0.900583618
Rimutaka,FALSE,2014,NATIONAL PARTY,41.45,0.83534865
Rodney,FALSE,1996,NATIONAL PARTY,38.8,1.100085058
Rodney,FALSE,1999,NATIONAL PARTY,35.72,1.122564425
Rodney,FALSE,2002,NATIONAL PARTY,22.89,1.046160878
Rodney,FALSE,2005,NATIONAL PARTY,52.65,1.275127149
Rodney,FALSE,2008,NATIONAL PARTY,58.99,1.247937381
Rodney,FALSE,2011,NATIONAL PARTY,62.15,1.250754679
Rodney,FALSE,2014,NATIONAL PARTY,61.16,1.232567513
Rongotai,FALSE,1996,NATIONAL PARTY,34.1,0.966827332
Rongotai,FALSE,1999,NATIONAL PARTY,29.11,0.914833438
Rongotai,FALSE,2002,NATIONAL PARTY,16.94,0.774223035
Rongotai,FALSE,2005,NATIONAL PARTY,27.84,0.674255268
Rongotai,FALSE,2008,NATIONAL PARTY,31.37,0.66363444
Rongotai,FALSE,2011,NATIONAL PARTY,32.99,0.663916281
Rongotai,FALSE,2014,NATIONAL PARTY,32.73,0.659613059
Rotorua,FALSE,1996,NATIONAL PARTY,36.14,1.024666856
Rotorua,FALSE,1999,NATIONAL PARTY,30.73,0.965744815
Rotorua,FALSE,2002,NATIONAL PARTY,20.43,0.933729433
Rotorua,FALSE,2005,NATIONAL PARTY,41.89,1.014531364
Rotorua,FALSE,2008,NATIONAL PARTY,50.35,1.065157605
Rotorua,FALSE,2011,NATIONAL PARTY,51.27,1.031797142
Rotorua,FALSE,2014,NATIONAL PARTY,52.05,1.048972189
Selwyn,FALSE,2008,NATIONAL PARTY,54.91,1.161624709
Selwyn,FALSE,2011,NATIONAL PARTY,62.65,1.260817066
Selwyn,FALSE,2014,NATIONAL PARTY,63.58,1.28133817
Tainui,TRUE,2002,NATIONAL PARTY,3.88,0.921615202
Tainui,TRUE,2005,NATIONAL PARTY,4.14,0.969555035
Tamaki,FALSE,1996,NATIONAL PARTY,40.84,1.157924582
Tamaki,FALSE,1999,NATIONAL PARTY,38.89,1.222187304
Tamaki,FALSE,2002,NATIONAL PARTY,27.33,1.249085923
Tamaki,FALSE,2005,NATIONAL PARTY,53.87,1.304674255
Tamaki,FALSE,2008,NATIONAL PARTY,60.22,1.273958113
Tamaki,FALSE,2011,NATIONAL PARTY,64.42,1.296437915
Tamaki,FALSE,2014,NATIONAL PARTY,65.7,1.324062878
Tamaki Makaurau,TRUE,2002,NATIONAL PARTY,3.19,0.757719715
Tamaki Makaurau,TRUE,2005,NATIONAL PARTY,4.03,0.943793911
Tamaki Makaurau,TRUE,2008,NATIONAL PARTY,7.42,0.995973154
Tamaki Makaurau,TRUE,2011,NATIONAL PARTY,8.41,0.98018648
Tamaki Makaurau,TRUE,2014,NATIONAL PARTY,7.63,0.962168979
Taranaki-King Country,FALSE,1996,NATIONAL PARTY,46.69,1.323787922
Taranaki-King Country,FALSE,1999,NATIONAL PARTY,40.47,1.271841609
Taranaki-King Country,FALSE,2002,NATIONAL PARTY,32.93,1.505027422
Taranaki-King Country,FALSE,2005,NATIONAL PARTY,56.42,1.36643255
Taranaki-King Country,FALSE,2008,NATIONAL PARTY,59.54,1.259572668
Taranaki-King Country,FALSE,2011,NATIONAL PARTY,60.44,1.216341316
Taranaki-King Country,FALSE,2014,NATIONAL PARTY,61.46,1.238613462
Taupo,FALSE,1996,NATIONAL PARTY,35.19,0.997731783
Taupo,FALSE,1999,NATIONAL PARTY,33.58,1.055311125
Taupo,FALSE,2002,NATIONAL PARTY,21.91,1.001371115
Taupo,FALSE,2005,NATIONAL PARTY,44.25,1.07168806
Taupo,FALSE,2008,NATIONAL PARTY,53.57,1.13327692
Taupo,FALSE,2011,NATIONAL PARTY,56.31,1.133226001
Taupo,FALSE,2014,NATIONAL PARTY,57.13,1.151350262
Tauranga,FALSE,1996,NATIONAL PARTY,32.33,0.916643039
Tauranga,FALSE,1999,NATIONAL PARTY,29.7,0.933375236
Tauranga,FALSE,2002,NATIONAL PARTY,21.98,1.004570384
Tauranga,FALSE,2005,NATIONAL PARTY,45.28,1.096633567
Tauranga,FALSE,2008,NATIONAL PARTY,54.31,1.148931669
Tauranga,FALSE,2011,NATIONAL PARTY,54.23,1.091366472
Tauranga,FALSE,2014,NATIONAL PARTY,55.81,1.124748085
Te Atatu,FALSE,1999,NATIONAL PARTY,23.58,0.741043369
Te Atatu,FALSE,2002,NATIONAL PARTY,13.16,0.601462523
Te Atatu,FALSE,2005,NATIONAL PARTY,30.38,0.735771373
Te Atatu,FALSE,2008,NATIONAL PARTY,41.54,0.878781468
Te Atatu,FALSE,2011,NATIONAL PARTY,41.19,0.828939424
Te Atatu,FALSE,2014,NATIONAL PARTY,41.12,0.828698106
Te Puko O Te Whenua,TRUE,1996,NATIONAL PARTY,5.17,0.850328947
Te Tai Hauauru,TRUE,1996,NATIONAL PARTY,5.71,0.939144737
Te Tai Hauauru,TRUE,1999,NATIONAL PARTY,4.42,0.772727273
Te Tai Hauauru,TRUE,2002,NATIONAL PARTY,4.12,0.978622328
Te Tai Hauauru,TRUE,2005,NATIONAL PARTY,3.58,0.838407494
Te Tai Hauauru,TRUE,2008,NATIONAL PARTY,6.57,0.881879195
Te Tai Hauauru,TRUE,2011,NATIONAL PARTY,7.81,0.91025641
Te Tai Hauauru,TRUE,2014,NATIONAL PARTY,7.11,0.896595208
Te Tai Rawhiti,TRUE,1996,NATIONAL PARTY,4.25,0.699013158
